endereco,preco,quartos,metragem,vagas
"Rua 11, VILA GOIS, ANAPOLIS",890.000,3,199 m²,3 Vagas
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",250.000,2,41 m²,1 Vaga
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",230.000,2,50 m²,1 Vaga
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",280.000,2,50 m²,1 Vaga
"Rua D, ANDRACEL CENTER, ANAPOLIS",230.000,2,42 m²,1 Vaga
"Rua JM 0033, SETOR SUL JAMIL MIGUEL, ANAPOLIS",350.000,3,82 m²,2 Vagas
"Rua JUNDIAI, JUNDIAI, ANAPOLIS",1.100.000,3,104 m²,2 Vagas
"AVENIDA TIRADENTES, JARDIM ALEXANDRINA, ANAPOLIS",215.000,2,40 m²,1 Vaga
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",418.000,2,61 m²,2 Vagas
"Rua L 0018, JARDIM EUROPA, ANAPOLIS",630.000,3,74 m²,1 Vaga
"AVENIDA A, JUNDIAI, ANAPOLIS",1.050.000,3,150 m²,2 Vagas
"Rua SC 1, RESIDENCIAL SAO CRISTOVAO, ANAPOLIS",138.000,2,53 m²,1 Vaga
"Avenida Alvorada, CHACARAS AMERICANAS, ANAPOLIS",300.000,2,52 m²,1 Vaga
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",252.000,2,57 m²,2 Vagas
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",550.000,2,66 m²,1 Vaga
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",900.000,3,189 m²,2 Vagas
"Rua B, CONJUNTO ELDORADO, ANAPOLIS",111.000,2,50 m²,1 Vaga
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",910.000,3,82 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",130.000,2,66 m²,1 Vaga
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",102.000,2,40 m²,1 Vaga
"Rua L 0018, JARDIM EUROPA, ANAPOLIS",560.000,3,107 m²,2 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",800.000,3,110 m²,3 Vagas
"Rua BORBA GATO, VILA NOSSA SENHORA DABADIA, ANAPOLIS",175.000,2,50 m²,1 Vaga
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",1.890.000,4,122 m²,2 Vagas
"Rua BRAZ CORDEIRO DE MORAIS, VILA INDUSTRIAL, ANAPOLIS",430.000,3,147 m²,2 Vagas
"AVENIDA JAMEL CECILIO, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",330.000,3,80 m²,1 Vaga
"Rua ELIAS GOMES, JUNDIAI, ANAPOLIS",1.200.000,3,151 m²,4 Vagas
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",380.000,3,92 m²,1 Vaga
"Rua 06, CHACARAS COLORADO, ANAPOLIS",280.000,3,79 m²,1 Vaga
"AVENIDA PROFESSORA ZENAIDE DE C. RORIZ, JUNDIAI, ANAPOLIS",1.200.000,4,179 m²,3 Vagas
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",265.000,2,87 m²,1 Vaga
"Rua DOUTOR BERNARDO SAYAO, CIDADE UNIVERSITARIA, ANAPOLIS",220.000,1,48 m²,1 Vaga
"Rua PROFESSOR ELI ALVES, VILA NOSSA SENHORA DABADIA, ANAPOLIS",300.000,2,79 m²,1 Vaga
"Rua JACARANDA, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",520.000,3,99 m²,1 Vaga
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",235.000,2,60 m²,1 Vaga
"Rua D, ANDRACEL CENTER, ANAPOLIS",215.000,2,42 m²,1 Vaga
"Rua 03, VILA SANTA ISABEL, ANAPOLIS",270.000,2,60 m²,1 Vaga
"Rua 02, CIDADE JARDIM, ANAPOLIS",415.000,3,99 m²,1 Vaga
"ALAMEDA CONTORNO, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",495.000,3,103 m²,2 Vagas
"Rua 32, ELDORADO, ANAPOLIS",445.000,3,69 m²,2 Vagas
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",850.000,3,125 m²,2 Vagas
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",215.000,2,48 m²,1 Vaga
"Rua CIRILO SILVA, VILA GOIS, ANAPOLIS",220.000,2,52 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.420.000,3,138 m²,3 Vagas
"Rua DOM EMANUEL, MARACANA, ANAPOLIS",230.000,3,76 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",906.265,3,100 m²,2 Vagas
"Rua DAYSE FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",320.000,3,86 m²,1 Vaga
"Rua BALSAMO, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",420.000,3,101 m²,2 Vagas
"AVENIDA JOAO VIEIRA, JARDIM PROGRESSO, ANAPOLIS",235.000,2,51 m²,1 Vaga
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",300.000,2,57 m²,1 Vaga
"Rua PB 11, PARQUE BRASILIA 2 ETAPA, ANAPOLIS",270.000,2,79 m²,1 Vaga
"Rua Presidente Kennedy, JUNDIAI, ANAPOLIS",1.490.000,3,164 m²,3 Vagas
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",655.336,3,78 m²,2 Vagas
"Rua 05, CIDADE JARDIM, ANAPOLIS",330.000,3,79 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",570.000,2,75 m²,2 Vagas
"Rua DOUTOR BERNARDO SAYAO, CIDADE UNIVERSITARIA, ANAPOLIS",240.000,1,30 m²,1 Vaga
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",300.000,3,84 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",490.000,2,75 m²,1 Vaga
"Rua F, CIDADE JARDIM, ANAPOLIS",500.000,3,72 m²,2 Vagas
"Rua DOS EMBOABAS, VILA GOIAS, ANAPOLIS",250.000,3,67 m²,1 Vaga
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",290.000,2,90 m²,1 Vaga
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",218.000,2,43 m²,1 Vaga
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",740.000,3,130 m²,2 Vagas
"Rua DOM EMANUEL, MARACANA, ANAPOLIS",450.000,3,89 m²,2 Vagas
"Rua JM 0033, SETOR SUL JAMIL MIGUEL, ANAPOLIS",350.000,3,81 m²,2 Vagas
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",890.000,2,123 m²,1 Vaga
"Rua BERNARDO SAYAO, MARACANANZINHO, ANAPOLIS",270.000,1,36 m²,1 Vaga
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",100.000,2,40 m²,1 Vaga
"Rua RUI BARBOSA, SETOR CENTRAL, ANAPOLIS",240.000,4,117 m²,
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",240.000,2,45 m²,1 Vaga
"AVENIDA PINHEIRO CHAGAS, JUNDIAI, ANAPOLIS",1.200.000,4,180 m²,2 Vagas
"Rua Floriano Peixoto, VILA SANTA TEREZINHA, ANAPOLIS",900.000,3,360 m²,3 Vagas
"Rua L 0017, JARDIM EUROPA, ANAPOLIS",560.000,3,107 m²,2 Vagas
"Rua PROFESSOR ELI ALVES, VILA NOSSA SENHORA DABADIA, ANAPOLIS",315.000,3,79 m²,1 Vaga
"Avenida José Neto Paranhos, JUNDIAI, ANAPOLIS",750.000,3,99 m²,2 Vagas
"AVENIDA DIVINO PAI ETERNO, VILA GOIS, ANAPOLIS",410.000,3,95 m²,2 Vagas
"AVENIDA JAMEL CECILIO, JUNDIAI, ANAPOLIS",850.000,3,136 m²,2 Vagas
"Rua EUCLIDES DA CUNHA, JARDIM GOIANO, ANAPOLIS",280.000,3,86 m²,1 Vaga
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",300.000,3,82 m²,1 Vaga
"Rua L 0017, JARDIM EUROPA, ANAPOLIS",340.000,2,68 m²,1 Vaga
"Rua PARAGUAI, BOA VISTA, ANAPOLIS",475.000,3,69 m²,2 Vagas
"Rua B, CONJUNTO ELDORADO, ANAPOLIS",310.000,2,57 m²,1 Vaga
"Rua 4, VILA FORMOSA, ANAPOLIS",210.000,1,49 m²,
"AVENIDA TIRADENTES, JARDIM ALEXANDRINA, ANAPOLIS",230.000,2,47 m²,1 Vaga
"Rua BRASIL (VILA CELINA), JUNDIAI, ANAPOLIS",300.000,2,54 m²,1 Vaga
"Rua F, CIDADE JARDIM, ANAPOLIS",455.000,3,72 m²,2 Vagas
"Rua Presidente Kennedy, JUNDIAI, ANAPOLIS",1.600.000,3,164 m²,4 Vagas
"AVENIDA PRESIDENTE JOSE SARNEY, SETOR SUL JAMIL MIGUEL, ANAPOLIS",220.000,2,52 m²,1 Vaga
"Rua ARLINDO COSTA, JUNDIAI, ANAPOLIS",480.000,2,68 m²,2 Vagas
"AVENIDA PRESIDENTE WILSON, VILA INDUSTRIAL, ANAPOLIS",310.000,2,48 m²,1 Vaga
"Rua Presidente Kennedy, JUNDIAI, ANAPOLIS",800.000,3,102 m²,2 Vagas
"Rua 32, ELDORADO, ANAPOLIS",310.000,2,50 m²,1 Vaga
"Rua 23, CHACARAS AMERICANAS, ANAPOLIS",180.000,2,52 m²,1 Vaga
"Rua F, CIDADE JARDIM, ANAPOLIS",450.000,3,78 m²,2 Vagas
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",120.000,2,74 m²,1 Vaga
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",240.000,3,73 m²,1 Vaga
"Rua ELIAS GOMES, VILA SANTA MARIA DE NAZARETH, ANAPOLIS",215.000,3,74 m²,1 Vaga
"AVENIDA MONSENHOR CHIQUINHO, JUNDIAI, ANAPOLIS",800.000,4,150 m²,3 Vagas
"Rua DONA SANDITA, SETOR CENTRAL, ANAPOLIS",260.000,3,87 m²,1 Vaga
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",750.000,3,85 m²,1 Vaga
"Rua CONEGO RAMIRO, JUNDIAI, ANAPOLIS",300.000,3,84 m²,2 Vagas
"Rua EVANGELINO MEIRELES, JUNDIAI, ANAPOLIS",1.200.000,3,130 m²,2 Vagas
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",600.000,3,115 m²,2 Vagas
"AVENIDA PATRIARCA, PARQUE RESIDENCIAL ANDER, ANAPOLIS",80.000,2,40 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.300.000,3,138 m²,3 Vagas
"Rua BERNARDO SAYAO, MARACANANZINHO, ANAPOLIS",250.000,1,32 m²,1 Vaga
"Rua WALDOMIRO DA CUNHA, JARDIM ELDORADO, ANAPOLIS",250.000,2,56 m²,1 Vaga
"AVENIDA BRASIL, LOURDES, ANAPOLIS",224.000,2,74 m²,1 Vaga
"Rua DA PECUARIA, CALIXTOLANDIA, ANAPOLIS",280.000,2,55 m²,1 Vaga
"Rua João Vieira, VILA HARMONIA, ANAPOLIS",220.000,2,51 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",500.000,2,75 m²,1 Vaga
"AVENIDA PRESIDENTE WILSON, VILA INDUSTRIAL, ANAPOLIS",310.000,2,48 m²,1 Vaga
"AVENIDA PALESTINA, BOA VISTA, ANAPOLIS",75.000,2,61 m²,1 Vaga
"Rua 05, ELDORADO, ANAPOLIS",340.000,2,68 m²,1 Vaga
"AVENIDA JAMEL CECILIO, JUNDIAI, ANAPOLIS",900.000,3,136 m²,3 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",720.000,3,109 m²,2 Vagas
"Rua 01, CIDADE JARDIM, ANAPOLIS",800.000,4,200 m²,3 Vagas
"Rua VITOR DE AZEVEDO, JUNDIAI, ANAPOLIS",550.000,2,58 m²,1 Vaga
"AVENIDA DONA ALBERTINA DE PINA, JARDIM ALEXANDRINA, ANAPOLIS",250.000,2,68 m²,1 Vaga
"Rua 02, ELDORADO, ANAPOLIS",310.000,2,60 m²,1 Vaga
"Rua GOIANAPOLIS, POLOCENTRO L, ANAPOLIS",65.000,2,60 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",550.000,2,78 m²,1 Vaga
"AVENIDA PEDRO LUDOVICO, VILA SAO JOAQUIM, ANAPOLIS",245.000,2,55 m²,1 Vaga
"Rua CARLINHOS JOSE RIBEIRO, VILA JAIARA, ANAPOLIS",410.000,3,71 m²,2 Vagas
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",570.000,2,70 m²,2 Vagas
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",590.000,2,67 m²,1 Vaga
"AVENIDA JAMEL CECILIO, JUNDIAI, ANAPOLIS",600.000,3,133 m²,2 Vagas
"Rua PRESIDENTE CASTELO BRANCO, VILA HARMONIA, ANAPOLIS",230.000,2,42 m²,1 Vaga
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",720.000,3,109 m²,2 Vagas
"Rua ENGENHEIRO PORTELA, VILA GOIS, ANAPOLIS",400.000,2,90 m²,2 Vagas
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",265.000,2,57 m²,1 Vaga
"Avenida Professora Zenaide de C. Roriz, JUNDIAI, ANAPOLIS",1.150.000,4,180 m²,3 Vagas
"AVENIDA BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",650.000,2,69 m²,1 Vaga
"Avenida Senador José Lourenço Dias, MARACANA, ANAPOLIS",260.000,3,87 m²,1 Vaga
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",215.000,2,43 m²,1 Vaga
"Rua COUTO DAFICO, JUNDIAI, ANAPOLIS",330.000,3,76 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.119.000,3,117 m²,2 Vagas
"Avenida José Neto Paranhos, JUNDIAI, ANAPOLIS",770.000,3,99 m²,2 Vagas
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",310.000,3,78 m²,1 Vaga
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",195.000,2,47 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",630.000,2,75 m²,1 Vaga
"Rua 03, CHACARAS COLORADO, ANAPOLIS",280.000,3,79 m²,1 Vaga
"Avenida José Neto Paranhos, JUNDIAI, ANAPOLIS",610.000,3,87 m²,2 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",650.000,2,75 m²,1 Vaga
"AVENIDA UNIVERSITARIA, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",350.000,1,37 m²,
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",480.000,3,95 m²,2 Vagas
"Rua 04, CIDADE JARDIM, ANAPOLIS",1.000.000,4,280 m²,4 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",590.000,2,66 m²,2 Vagas
"AVENIDA PINHEIRO CHAGAS, JUNDIAI, ANAPOLIS",1.350.000,3,189 m²,3 Vagas
"Rua DONA DOCA, SETOR CENTRAL, ANAPOLIS",295.000,3,85 m²,1 Vaga
"PRACA SANTOS DUMONT, VILA JUSSARA, ANAPOLIS",230.000,1,27 m²,
"Rua PRESIDENTE CASTELO BRANCO, VILA HARMONIA, ANAPOLIS",220.000,2,51 m²,1 Vaga
"AVENIDA JAMEL CECILIO, JUNDIAI, ANAPOLIS",430.000,3,92 m²,2 Vagas
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",170.000,2,50 m²,1 Vaga
"AVENIDA PINHEIRO CHAGAS, JUNDIAI, ANAPOLIS",1.200.000,4,160 m²,
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",950.000,3,138 m²,2 Vagas
"AVENIDA MIRAGE, CALIXTOLANDIA 2 ETAPA, ANAPOLIS",185.000,2,47 m²,1 Vaga
"Rua 46, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",530.000,3,104 m²,2 Vagas
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",200.000,2,41 m²,1 Vaga
"AVENIDA SENADOR RAMOS CAIADO, MARACANA, ANAPOLIS",650.000,3,135 m²,4 Vagas
"Rua FERROVIARIO BRAULINO DOS REIS, VILA INDUSTRIAL, ANAPOLIS",290.000,3,77 m²,1 Vaga
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",430.000,3,93 m²,2 Vagas
"Rua DOUTOR JAMES FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",250.000,1,30 m²,
"AVENIDA PLANALTO, VILA JAIARA, ANAPOLIS",205.000,2,44 m²,1 Vaga
"Rua BENEDITO BORGES DE ALMEIDA, JUNDIAI, ANAPOLIS",1.850.000,3,169 m²,3 Vagas
"Rua ARLINDO COSTA, JUNDIAI, ANAPOLIS",450.000,2,75 m²,2 Vagas
"Rua F, CIDADE JARDIM, ANAPOLIS",440.000,3,72 m²,2 Vagas
